演奏会名,日にち,会場,演奏曲目,指揮,協演,備考
第12回,1966/12/22,共立講堂,1．「Quatre petites prières de Saint François d'Assise」(Poulenc)<br>2．「オーヴェルニュの歌」(カントルーブ)<br>3．「トスティ歌曲集」より(トスティ)<br>4．「柳河風俗詩」(多田武彦)<br>5．「ザ・サウンド・オブ・ミュージック」(ロジャース),関屋晋(1)(3)(4)<br>坂田茂(2)<br>福永陽一郎(5),細川哲朗(3)(5)Pf,<br>""
第13回,1967/12/15,共立講堂,1．「大手拓次の三つの詩」(清水脩)<br>2．黒人霊歌<br>3．フランス童謡集<br>4．「Liebeslieder Op.52」(Brahms)<br>5．「男の子が生まれて」(石井歓),関屋晋(1)(3)(5)<br>金子清視(2)<br>福永陽一郎(5),<br>"",<br>""
第14回,1968/12/12,国立教育会館虎ノ門ホール,1．「Missa Solemunis」(Creston)<br>2．「海のヴァリエーション」(佐藤眞)<br>3．近代フランス合唱曲<br>4．「蛙の歌」(南弘明)<br>5．フランツ・シューベルト男声合唱曲,関屋晋(1)(3)(4)<br>宮原正樹(2)<br>福永陽一郎(5),<br>"",<br>""
第15回,1969/12/16,国立教育会館虎ノ門ホール,1．サン＝サーンス男声合唱曲<br>2．「人間の歌」(多田武彦)<br>3．「さすらう若人の歌」(Mahler)<br>4．「合唱のためのコンポジション第6番」(間宮芳生),関屋晋(1)(3)<br>弘末光幸(2)<br>石丸寛(4),<br>"",<br>""
第16回,1970/12/21,国立教育会館虎ノ門ホール,1．「Missa Mater Patris」(Josquin des Prés)<br>2．English Folksongs<br>3．「オーヴェルニュの歌」(Canteloube)<br>4．「枯木と太陽の歌」(石井歓),関屋晋(1)(4)<br>福永陽一郎(2)<br>山本康博(3),<br>"",<br>""
第17回,1971/12/10,東京郵便貯金ホール,1．「Magnificat」(Palestrina)<br>2．「5つのスロヴァキア民謡」「4つの古いハンガリー民謡」(Bartók)<br>3．「アイヌのウポポ」(清水脩)<br>4．「蛙の歌」(堀悦子),関屋晋(1)(2)(4)<br>横山誠一郎(3),<br>"",<br>""
第18回,1972/12/11,共立講堂,1．「天台寺門宗総本山園城寺声明による男声合唱　法華懺法」<br>　　(藤原義久)<br>2．「大手拓次の三つの詩」(清水脩)<br>3．リディア、夢のあとに、悲しみ、讃歌他(Fauré)<br>4．コダーイ男声合唱曲,関屋晋(1)(3)(4)<br>陽直文(2),田中瑤子(3)Pf,<br>""
第19回,1973/12/14,共立講堂,1．「The Lamentations of Jeremiah」(Tallis)<br>2．黒人霊歌<br>3．三つの抒情(三善晃)<br>4．シューベルト男声合唱曲,関屋晋(1)(3)(4)<br>草川博次(2),田中瑤子(3)(4)Pf,<br>""
第20回,1974/12/12,東京郵便貯金ホール,1．「Missa S.Sebastiao」(Villa-Lobos)<br>2．「Shicksalslied」(Brahms)<br>3．「合唱のためのコンポジションⅢ」(間宮芳生)<br>4．「3つの男声合唱曲」(Janáček),関屋晋(1)(4)<br>手塚幸紀(2)<br>沢原恭二(3),<br>"",<br>""
第21回,1975/12/12,東京郵便貯金ホール,1．「雪明りの路」(多田武彦)<br>2．「MAGICAL BEATLE'S TOUR」<br>3．コダーイ男声合唱曲<br>4．「Jagdlieder」(Schumann),関屋晋(1)(4)<br>清水昭(2)<br>手塚幸紀(3),<br>"",<br>""
